HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.sentence,Answer.WritingTexts,Approve,Reject
3PEG1BH7AEKND3V5M3M2TWUKPY9BKR,3D4BPCICWLV2H7ZTCOLFOJ7QDLA8V0,Correction of English learners errors,You are given a sentence written by a person who learns english and you should correct it,"writing, correction, grammatical, errors, learner language, fix, correct, check",$0.10,Wed Nov 30 04:45:23 PST 2016,51,BatchId:2612793;,3600,604800,Thu Dec 08 21:07:44 PST 2016,,,308XBLVESJXCNR5U2Q00ISBF7O1RBL,A255Z4U24Y2SP8,Approved,Sat Dec 03 17:26:16 PST 2016,Sat Dec 03 17:26:31 PST 2016,Sat Dec 10 17:26:31 PST 2016,Sun Dec 04 09:33:30 PST 2016,,,15,100% (2/2),100% (2/2),100% (2/2),"However , there are both sides of stories .","However, there are two sides to a story.",,
3PEG1BH7AEKND3V5M3M2TWUKPY9BKR,3D4BPCICWLV2H7ZTCOLFOJ7QDLA8V0,Correction of English learners errors,You are given a sentence written by a person who learns english and you should correct it,"writing, correction, grammatical, errors, learner language, fix, correct, check",$0.10,Wed Nov 30 04:45:23 PST 2016,51,BatchId:2612793;,3600,604800,Thu Dec 08 21:07:44 PST 2016,,,30LB5CDZND3K5VOBERXOKEHVPECZ0F,A3UVA238PLG12K,Approved,Wed Dec 07 08:29:54 PST 2016,Wed Dec 07 08:31:10 PST 2016,Wed Dec 14 08:31:10 PST 2016,Thu Dec 08 02:42:06 PST 2016,,,76,100% (1/1),100% (1/1),100% (1/1),"However , there are both sides of stories .","However , there is more than one side to each story.",,
3PEG1BH7AEKND3V5M3M2TWUKPY9BKR,3D4BPCICWLV2H7ZTCOLFOJ7QDLA8V0,Correction of English learners errors,You are given a sentence written by a person who learns english and you should correct it,"writing, correction, grammatical, errors, learner language, fix, correct, check",$0.10,Wed Nov 30 04:45:23 PST 2016,51,BatchId:2612793;,3600,604800,Thu Dec 08 21:07:44 PST 2016,,,31HQ4X3T3T301FRJ8SPZM5CG5JCLS2,A2SAWJZQM8GTF6,Approved,Sat Dec 03 04:47:04 PST 2016,Sat Dec 03 04:47:41 PST 2016,Sat Dec 10 04:47:41 PST 2016,Sat Dec 03 05:22:47 PST 2016,,,37,100% (2/2),100% (2/2),0% (0/0),"However , there are both sides of stories .","However, there are two sides to every story.",,
3PEG1BH7AEKND3V5M3M2TWUKPY9BKR,3D4BPCICWLV2H7ZTCOLFOJ7QDLA8V0,Correction of English learners errors,You are given a sentence written by a person who learns english and you should correct it,"writing, correction, grammatical, errors, learner language, fix, correct, check",$0.10,Wed Nov 30 04:45:23 PST 2016,51,BatchId:2612793;,3600,604800,Thu Dec 08 21:07:44 PST 2016,,,33CKWXB73KDNHOOL2ZSW6PGTHIW114,A2DBMTN294Y1A8,Approved,Sun Dec 04 20:55:39 PST 2016,Sun Dec 04 20:57:02 PST 2016,Sun Dec 11 20:57:02 PST 2016,Tue Dec 06 10:58:44 PST 2016,,,83,100% (6/6),100% (6/6),100% (2/2),"However , there are both sides of stories .","However, they are both sides of the story.",,
3PEG1BH7AEKND3V5M3M2TWUKPY9BKR,3D4BPCICWLV2H7ZTCOLFOJ7QDLA8V0,Correction of English learners errors,You are given a sentence written by a person who learns english and you should correct it,"writing, correction, grammatical, errors, learner language, fix, correct, check",$0.10,Wed Nov 30 04:45:23 PST 2016,51,BatchId:2612793;,3600,604800,Thu Dec 08 21:07:44 PST 2016,,,33LK57MYLUYK648NNTG8UKNEK6USZU,AQ2HBVDME5DJK,Approved,Wed Dec 07 08:18:33 PST 2016,Wed Dec 07 08:18:50 PST 2016,Wed Dec 14 08:18:50 PST 2016,Thu Dec 08 02:42:06 PST 2016,,,17,100% (2/2),100% (2/2),100% (2/2),"However , there are both sides of stories .","However, there are two sides to every story.",,
3PEG1BH7AEKND3V5M3M2TWUKPY9BKR,3D4BPCICWLV2H7ZTCOLFOJ7QDLA8V0,Correction of English learners errors,You are given a sentence written by a person who learns english and you should correct it,"writing, correction, grammatical, errors, learner language, fix, correct, check",$0.10,Wed Nov 30 04:45:23 PST 2016,51,BatchId:2612793;,3600,604800,Thu Dec 08 21:07:44 PST 2016,,,33NF62TLXKVWI6QB0Y4KF48EK2ZJKQ,A1H7XQCN2TQJM7,Approved,Sat Dec 03 20:16:12 PST 2016,Sat Dec 03 20:16:58 PST 2016,Sat Dec 10 20:16:58 PST 2016,Sun Dec 04 09:33:30 PST 2016,,,46,100% (13/13),100% (13/13),100% (2/2),"However , there are both sides of stories .","However, there are two sides to the story.",,
3PEG1BH7AEKND3V5M3M2TWUKPY9BKR,3D4BPCICWLV2H7ZTCOLFOJ7QDLA8V0,Correction of English learners errors,You are given a sentence written by a person who learns english and you should correct it,"writing, correction, grammatical, errors, learner language, fix, correct, check",$0.10,Wed Nov 30 04:45:23 PST 2016,51,BatchId:2612793;,3600,604800,Thu Dec 08 21:07:44 PST 2016,,,37TD41K0AI27YBXDVFW0JMMTA2GSCU,A3US3R22I0W1QE,Approved,Thu Dec 01 13:32:52 PST 2016,Thu Dec 01 13:34:00 PST 2016,Thu Dec 08 13:34:00 PST 2016,Thu Dec 01 21:09:18 PST 2016,,,68,100% (11/11),100% (11/11),0% (0/0),"However , there are both sides of stories .","However, there are two sides of every story.",,
3PEG1BH7AEKND3V5M3M2TWUKPY9BKR,3D4BPCICWLV2H7ZTCOLFOJ7QDLA8V0,Correction of English learners errors,You are given a sentence written by a person who learns english and you should correct it,"writing, correction, grammatical, errors, learner language, fix, correct, check",$0.10,Wed Nov 30 04:45:23 PST 2016,51,BatchId:2612793;,3600,604800,Thu Dec 08 21:07:44 PST 2016,,,38JBBYETQP33TOFG156DB76QIGFE4S,A1QDAKDT8B8S3Z,Approved,Tue Dec 06 08:21:33 PST 2016,Tue Dec 06 08:22:01 PST 2016,Tue Dec 13 08:22:01 PST 2016,Tue Dec 06 10:58:43 PST 2016,,,28,100% (2/2),100% (2/2),100% (2/2),"However , there are both sides of stories .","However , there are two sides of the story.",,
3PEG1BH7AEKND3V5M3M2TWUKPY9BKR,3D4BPCICWLV2H7ZTCOLFOJ7QDLA8V0,Correction of English learners errors,You are given a sentence written by a person who learns english and you should correct it,"writing, correction, grammatical, errors, learner language, fix, correct, check",$0.10,Wed Nov 30 04:45:23 PST 2016,51,BatchId:2612793;,3600,604800,Thu Dec 08 21:07:44 PST 2016,,,392CY0QWG2KF9TH2XOW4WM4I9MNI4V,A1VG8WTPJFZJAI,Approved,Wed Nov 30 06:14:32 PST 2016,Wed Nov 30 06:15:01 PST 2016,Wed Dec 07 06:15:01 PST 2016,Wed Nov 30 21:00:20 PST 2016,,,29,100% (2/2),100% (2/2),0% (0/0),"However , there are both sides of stories .","However, there are two sides to the story.",,
3PEG1BH7AEKND3V5M3M2TWUKPY9BKR,3D4BPCICWLV2H7ZTCOLFOJ7QDLA8V0,Correction of English learners errors,You are given a sentence written by a person who learns english and you should correct it,"writing, correction, grammatical, errors, learner language, fix, correct, check",$0.10,Wed Nov 30 04:45:23 PST 2016,51,BatchId:2612793;,3600,604800,Thu Dec 08 21:07:44 PST 2016,,,39PAAFCODNT4CKGSBWWVJJ64YJAVT4,A2JUG54Q160M9,Approved,Thu Dec 08 12:53:57 PST 2016,Thu Dec 08 12:54:23 PST 2016,Thu Dec 15 12:54:23 PST 2016,Sat Dec 10 00:39:13 PST 2016,,,26,100% (2/2),100% (2/2),100% (2/2),"However , there are both sides of stories .","Howeve , there are two sides of the story .",,
