HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.Correction,Input.Original,Answer.Q1Answer,Approve,Reject
341H3G5YF07HIBRHOOSNWUMF5FEZ0X,32HMK6WX80F20ZZB13CCVTOYH3YK3P,confirm corrections,Judge whether a sentence is a correction of another,"short, easy",$0.05,Mon May 29 10:24:06 PDT 2017,3,BatchId:2818806;OriginalHitTemplateId:920937336;,3600,864000,Mon Jun 05 10:24:06 PDT 2017,,,3I33IC7ZWGVQ0XJHHML3M9J2WOEA2D,A53VYIFCCASOA,Submitted,Mon May 29 10:35:32 PDT 2017,Mon May 29 10:35:51 PDT 2017,Thu Jun 08 10:35:51 PDT 2017,,,,19,0% (0/0),0% (0/0),0% (0/0),This would result in the country s loss of manpower,This would result in the lose of manpower in a country,No,,
341H3G5YF07HIBRHOOSNWUMF5FEZ0X,32HMK6WX80F20ZZB13CCVTOYH3YK3P,confirm corrections,Judge whether a sentence is a correction of another,"short, easy",$0.05,Mon May 29 10:24:06 PDT 2017,3,BatchId:2818806;OriginalHitTemplateId:920937336;,3600,864000,Mon Jun 05 10:24:06 PDT 2017,,,3P1L2B7AD2IL3NZQ1B8Q202GR57LOA,A1KUAL8PN2X8PK,Submitted,Mon May 29 10:25:50 PDT 2017,Mon May 29 10:26:18 PDT 2017,Thu Jun 08 10:26:18 PDT 2017,,,,28,100% (5/5),0% (0/0),0% (0/0),This would result in the country s loss of manpower,This would result in the lose of manpower in a country,Yes,,
341H3G5YF07HIBRHOOSNWUMF5FEZ0X,32HMK6WX80F20ZZB13CCVTOYH3YK3P,confirm corrections,Judge whether a sentence is a correction of another,"short, easy",$0.05,Mon May 29 10:24:06 PDT 2017,3,BatchId:2818806;OriginalHitTemplateId:920937336;,3600,864000,Mon Jun 05 10:24:06 PDT 2017,,,3PJ71Z61R5V56TRG6C7PLVYDY0H91F,A3VKWFQA0KO1KB,Submitted,Mon May 29 10:32:32 PDT 2017,Mon May 29 10:33:02 PDT 2017,Thu Jun 08 10:33:02 PDT 2017,,,,30,0% (0/0),0% (0/0),0% (0/0),This would result in the country s loss of manpower,This would result in the lose of manpower in a country,No,,
3W0XM68YZPOM05DDK6TDNKHC6Y81KH,32HMK6WX80F20ZZB13CCVTOYH3YK3P,confirm corrections,Judge whether a sentence is a correction of another,"short, easy",$0.05,Mon May 29 10:24:06 PDT 2017,3,BatchId:2818806;OriginalHitTemplateId:920937336;,3600,864000,Mon Jun 05 10:24:06 PDT 2017,,,33SA9F9TRYNF2QY0BBCW6ZPILA7WEC,A1KUAL8PN2X8PK,Submitted,Mon May 29 10:38:39 PDT 2017,Mon May 29 10:39:58 PDT 2017,Thu Jun 08 10:39:58 PDT 2017,,,,79,100% (5/5),0% (0/0),0% (0/0),Travelers can survive in the desert thanks to GPS guidance,Travelers survive in desert thanks to GPS guide them,Yes,,
3W0XM68YZPOM05DDK6TDNKHC6Y81KH,32HMK6WX80F20ZZB13CCVTOYH3YK3P,confirm corrections,Judge whether a sentence is a correction of another,"short, easy",$0.05,Mon May 29 10:24:06 PDT 2017,3,BatchId:2818806;OriginalHitTemplateId:920937336;,3600,864000,Mon Jun 05 10:24:06 PDT 2017,,,3A4NIXBJ77SX3KEEOVTDAWDBW5VMLZ,A37JENVKZQ56U6,Submitted,Mon May 29 10:42:57 PDT 2017,Mon May 29 10:43:05 PDT 2017,Thu Jun 08 10:43:05 PDT 2017,,,,8,0% (0/0),0% (0/0),0% (0/0),Travelers can survive in the desert thanks to GPS guidance,Travelers survive in desert thanks to GPS guide them,Yes,,
3W0XM68YZPOM05DDK6TDNKHC6Y81KH,32HMK6WX80F20ZZB13CCVTOYH3YK3P,confirm corrections,Judge whether a sentence is a correction of another,"short, easy",$0.05,Mon May 29 10:24:06 PDT 2017,3,BatchId:2818806;OriginalHitTemplateId:920937336;,3600,864000,Mon Jun 05 10:24:06 PDT 2017,,,3CCZ6YKWR8C4UBSZ7Z91OLBUAGN59U,A1X4DU8RFPRVLE,Submitted,Mon May 29 10:36:22 PDT 2017,Mon May 29 10:36:34 PDT 2017,Thu Jun 08 10:36:34 PDT 2017,,,,12,0% (0/0),0% (0/0),0% (0/0),Travelers can survive in the desert thanks to GPS guidance,Travelers survive in desert thanks to GPS guide them,Yes,,
3I6NF2WGIGPGM1IDV2AASI20BXW5G0,32HMK6WX80F20ZZB13CCVTOYH3YK3P,confirm corrections,Judge whether a sentence is a correction of another,"short, easy",$0.05,Mon May 29 10:24:22 PDT 2017,3,BatchId:2818806;OriginalHitTemplateId:920937336;,3600,864000,Mon Jun 05 10:24:22 PDT 2017,,,3GDTJDAPVV42ODUVU6K95RR5C5W8MZ,A1KUAL8PN2X8PK,Submitted,Mon May 29 10:41:58 PDT 2017,Mon May 29 10:42:12 PDT 2017,Thu Jun 08 10:42:12 PDT 2017,,,,14,100% (5/5),0% (0/0),0% (0/0),This would result in the loss of manpower in a country,This would result in the lose of manpower in a country,No,,
3I6NF2WGIGPGM1IDV2AASI20BXW5G0,32HMK6WX80F20ZZB13CCVTOYH3YK3P,confirm corrections,Judge whether a sentence is a correction of another,"short, easy",$0.05,Mon May 29 10:24:22 PDT 2017,3,BatchId:2818806;OriginalHitTemplateId:920937336;,3600,864000,Mon Jun 05 10:24:22 PDT 2017,,,3K4J6M3CXFMGFRROG16SODD367JAGW,A2B6WQG0A9CKXQ,Submitted,Mon May 29 10:36:29 PDT 2017,Mon May 29 10:36:47 PDT 2017,Thu Jun 08 10:36:47 PDT 2017,,,,18,0% (0/0),0% (0/0),0% (0/0),This would result in the loss of manpower in a country,This would result in the lose of manpower in a country,Yes,,
3I6NF2WGIGPGM1IDV2AASI20BXW5G0,32HMK6WX80F20ZZB13CCVTOYH3YK3P,confirm corrections,Judge whether a sentence is a correction of another,"short, easy",$0.05,Mon May 29 10:24:22 PDT 2017,3,BatchId:2818806;OriginalHitTemplateId:920937336;,3600,864000,Mon Jun 05 10:24:22 PDT 2017,,,3MMN5BL1W0XGNGOPIPPDEAJUWJ63M4,A2SY2N44N1RWVA,Submitted,Mon May 29 10:49:26 PDT 2017,Mon May 29 10:49:51 PDT 2017,Thu Jun 08 10:49:51 PDT 2017,,,,25,0% (0/0),0% (0/0),0% (0/0),This would result in the loss of manpower in a country,This would result in the lose of manpower in a country,Yes,,
3XEIP58NL0GUF7G3DHE6UEE38DPZL6,32HMK6WX80F20ZZB13CCVTOYH3YK3P,confirm corrections,Judge whether a sentence is a correction of another,"short, easy",$0.05,Mon May 29 10:24:13 PDT 2017,3,BatchId:2818806;OriginalHitTemplateId:920937336;,3600,864000,Mon Jun 05 10:24:13 PDT 2017,,,3F6HPJW4JETN7AMKIRHV4YGTO7GW29,A32OK9EMO9VJ2R,Submitted,Mon May 29 10:37:43 PDT 2017,Mon May 29 11:33:44 PDT 2017,Thu Jun 08 11:33:44 PDT 2017,,,,3361,0% (0/0),0% (0/0),0% (0/0),First rising life expectancy could cause resource challenges,In the first place rising life expectancies could cause resources challenge,No,,
3XEIP58NL0GUF7G3DHE6UEE38DPZL6,32HMK6WX80F20ZZB13CCVTOYH3YK3P,confirm corrections,Judge whether a sentence is a correction of another,"short, easy",$0.05,Mon May 29 10:24:13 PDT 2017,3,BatchId:2818806;OriginalHitTemplateId:920937336;,3600,864000,Mon Jun 05 10:24:13 PDT 2017,,,3KJYX6QCMA4AYHKNZ2IRHDJWJ9ZVJK,A2YO837C0O1E91,Submitted,Mon May 29 10:30:13 PDT 2017,Mon May 29 10:30:27 PDT 2017,Thu Jun 08 10:30:27 PDT 2017,,,,14,0% (0/0),0% (0/0),0% (0/0),First rising life expectancy could cause resource challenges,In the first place rising life expectancies could cause resources challenge,No,,
3XEIP58NL0GUF7G3DHE6UEE38DPZL6,32HMK6WX80F20ZZB13CCVTOYH3YK3P,confirm corrections,Judge whether a sentence is a correction of another,"short, easy",$0.05,Mon May 29 10:24:13 PDT 2017,3,BatchId:2818806;OriginalHitTemplateId:920937336;,3600,864000,Mon Jun 05 10:24:13 PDT 2017,,,3PM8NZGV8Z9JOTTVU73I2ZS3DF0XQH,A2FNI9973CF233,Submitted,Mon May 29 10:36:10 PDT 2017,Mon May 29 10:36:43 PDT 2017,Thu Jun 08 10:36:43 PDT 2017,,,,33,0% (0/0),0% (0/0),0% (0/0),First rising life expectancy could cause resource challenges,In the first place rising life expectancies could cause resources challenge,No,,
34F34TZU7WSYE6PRLPTFROR4JFMJ2H,32HMK6WX80F20ZZB13CCVTOYH3YK3P,confirm corrections,Judge whether a sentence is a correction of another,"short, easy",$0.05,Mon May 29 10:24:36 PDT 2017,3,BatchId:2818806;OriginalHitTemplateId:920937336;,3600,864000,Mon Jun 05 10:24:36 PDT 2017,,,39GXDJN2OU7LE0O48YL0SNAI3YB8VJ,A1T5YMBH35PDBX,Submitted,Mon May 29 10:52:56 PDT 2017,Mon May 29 10:53:36 PDT 2017,Thu Jun 08 10:53:36 PDT 2017,,,,40,0% (0/0),0% (0/0),0% (0/0),All of these contributions by using the surveillance technology to track make the environment safer,All these contributions by using the surveillance technology to track make the environment safer,Yes,,
34F34TZU7WSYE6PRLPTFROR4JFMJ2H,32HMK6WX80F20ZZB13CCVTOYH3YK3P,confirm corrections,Judge whether a sentence is a correction of another,"short, easy",$0.05,Mon May 29 10:24:36 PDT 2017,3,BatchId:2818806;OriginalHitTemplateId:920937336;,3600,864000,Mon Jun 05 10:24:36 PDT 2017,,,3TPZPLC3M15M8JL2A5H5VEDP1OJ3P2,A2AHTUEMS4ARNK,Submitted,Mon May 29 10:56:02 PDT 2017,Mon May 29 10:56:30 PDT 2017,Thu Jun 08 10:56:30 PDT 2017,,,,28,0% (0/0),0% (0/0),0% (0/0),All of these contributions by using the surveillance technology to track make the environment safer,All these contributions by using the surveillance technology to track make the environment safer,Yes,,
