frequency	# of variants
0.0002	4.52641312594e-05
0.00021	4.37693131153e-05
0.0002205	4.2244991987e-05
0.000231525	4.07077411911e-05
0.00024310125	3.91721935774e-05
0.0002552563125	3.76506481112e-05
0.000268019128125	3.61532688746e-05
0.000281420084531	3.4688700366e-05
0.000295491088758	3.32635690175e-05
0.000310265643196	3.18834358022e-05
0.000325778925355	3.05523119928e-05
0.000342067871623	2.92730551588e-05
0.000359171265204	2.80477432029e-05
0.000377129828465	2.68774787575e-05
0.000395986319888	2.5762662691e-05
0.000415785635882	2.47031707615e-05
0.000436574917676	2.36983755105e-05
0.00045840366356	2.27472158524e-05
0.000481323846738	2.18484464345e-05
0.000505390039075	2.10005536713e-05
0.000530659541029	2.02019161458e-05
0.00055719251808	1.94507513421e-05
0.000585052143984	1.87453757144e-05
0.000614304751184	1.80839694118e-05
0.000645019988743	1.74648207448e-05
0.00067727098818	1.68863314252e-05
0.000711134537589	1.63469990959e-05
0.000746691264468	1.58454248691e-05
0.000784025827692	1.53803888212e-05
0.000823227119076	1.49507765179e-05
0.00086438847503	1.45556683618e-05
0.000907607898782	1.41944942802e-05
0.000952988293721	1.38667199225e-05
0.00100063770841	1.35720293167e-05
0.00105066959383	1.3310543883e-05
0.00110320307352	1.3082639777e-05
0.00115836322719	1.28888259829e-05
0.00121628138855	1.27301746337e-05
0.00127709545798	1.26081239988e-05
0.00134095023088	1.25245197025e-05
0.00140799774242	1.24817184822e-05
0.00147839762955	1.2482806583e-05
0.00155231751102	1.25312154088e-05
0.00162993338657	1.26312844831e-05
0.0017114300559	1.27876715889e-05
0.0017970015587	1.30050747135e-05
0.00188685163663	1.32874315866e-05
0.00198119421847	1.36356358366e-05
0.00208025392939	1.40422706314e-05
0.00218426662586	1.44813279583e-05
0.00229347995715	1.48822036742e-05
0.00240815395501	1.50757516599e-05
0.00252856165276	1.46764404579e-05
0.0026549897354	1.29069781847e-05
0.00278773922217	8.94832692277e-06
0.00292712618327	6.4436542732e-06
0.00307348249244	0.000496891363784
0.00322715661706	108.027312758
0.00338851444791	20.1080007378
0.00355794017031	0.000837782454149
0.00373583717882	0.000249055967837
0.00392262903777	0.000296968142664
0.00411876048965	6.70004422007e-05
0.00432469851414	4.74101705904e-05
0.00454093343984	2.65210485057e-05
0.00476798011184	1.43440201597e-05
0.00500637911743	1.0378010853e-05
0.0052566980733	8.08568694397e-06
0.00551953297696	6.19417577613e-06
0.00579550962581	4.60533924883e-06
0.0060852851071	3.34809583186e-06
0.00638954936246	2.41219156492e-06
0.00670902683058	1.74521202321e-06
0.00704447817211	1.27951803027e-06
0.00739670208072	9.54131684273e-07
0.00776653718475	7.2341684436e-07
0.00815486404399	5.56484967226e-07
0.00856260724619	4.33291439011e-07
0.0089907376085	3.4085306722e-07
0.00944027448892	2.70570805544e-07
0.00991228821337	2.16559837823e-07
0.010407902624	1.74663837257e-07
0.0109282977552	1.41878678668e-07
0.011474712643	1.16003132647e-07
0.0120484482752	9.54124209867e-08
0.0126508706889	7.89006171123e-08
0.0132834142234	6.55668774833e-08
0.0139475849345	5.47324416686e-08
0.0146449641812	4.58806753342e-08
0.0153772123903	3.86140352067e-08
0.0161460730098	3.26233521223e-08
0.0169533766603	2.76658370303e-08
0.0178010454933	2.35491883542e-08
0.018691097768	2.01199724741e-08
0.0196256526564	1.72550122575e-08
0.0206069352892	1.4854902142e-08
0.0216372820537	1.28390683615e-08
0.0227191461564	1.11419588909e-08
0.0238551034642	9.71007689004e-09
0.0250478586374	8.49964968135e-09
0.0263002515693	7.47478628828e-09
0.0276152641477	6.60601209573e-09
0.0289960273551	5.8691005484e-09
0.0304458287229	5.24413868918e-09
0.031968120159	4.71478082735e-09
0.033566526167	4.26765546944e-09
0.0352448524753	3.89189941885e-09
0.0370070950991	3.57880068629e-09
0.038857449854	3.32153898162e-09
0.0408003223467	3.11501988214e-09
0.0428403384641	2.95580723698e-09
0.0449823553873	2.84217172466e-09
0.0472314731566	2.77429272203e-09
0.0495930468145	2.75468548498e-09
0.0520726991552	2.78898940174e-09
0.0546763341129	2.88737773231e-09
0.0574101508186	3.0671101162e-09
0.0602806583595	3.35732836138e-09
0.0632946912775	3.80859186513e-09
0.0664594258414	4.5133367322e-09
0.0697823971334	5.65444535705e-09
0.0732715169901	7.63771183279e-09
0.0769350928396	1.1535575573e-08
0.0807818474816	2.11819062545e-08
0.0848209398557	6.30352511182e-08
0.0890619868485	3.23387871412
0.0935150861909	2.31277159044
0.0981908405004	5.00046643904e-08
0.103100382525	1.61260204632e-08
0.108255401652	7.40093682036e-09
0.113668171734	3.94112880048e-09
0.119351580321	2.33769234253e-09
0.125319159337	1.47828327185e-09
0.131585117304	9.70691890242e-10
0.138164373169	6.50579436808e-10
0.145072591828	4.39448801895e-10
0.152326221419	2.96154424084e-10
0.15994253249	1.97681205815e-10
0.167939659114	1.30614797514e-10
0.17633664207	8.70474379151e-11
0.185153474174	6.25356427263e-11
0.194411147882	5.51315807214e-11
0.204131705276	6.51114308062e-11
0.21433829054	9.53874749287e-11
0.225055205067	1.5305023804e-10
0.236307965321	2.53677456444e-10
0.248123363587	4.34625117977e-10
0.260529531766	8.08527855457e-10
0.273556008354	1.93710292552e-09
0.287233808772	0.27482687179
