frequency	# of variants
0.0002	605.897911291
0.00021	0.00731797988889
0.0002205	0.00107407076222
0.000231525	0.000301194000044
0.00024310125	0.000148533138427
0.0002552563125	0.000106314534163
0.000268019128125	9.11158413125e-05
0.000281420084531	8.38051423152e-05
0.000295491088758	7.86945612553e-05
0.000310265643196	7.38774412917e-05
0.000325778925355	6.87792004447e-05
0.000342067871623	6.33440821289e-05
0.000359171265204	5.77073992522e-05
0.000377129828465	5.20516200845e-05
0.000395986319888	4.65442821996e-05
0.000415785635882	4.1315076914e-05
0.000436574917676	3.64517211606e-05
0.00045840366356	3.20042387492e-05
0.000481323846738	2.79923199738e-05
0.000505390039075	2.44131078465e-05
0.000530659541029	2.12481890085e-05
0.00055719251808	1.84693367583e-05
0.000585052143984	1.60429491088e-05
0.000614304751184	1.39332999676e-05
0.000645019988743	1.21047982131e-05
0.00067727098818	1.05234658136e-05
0.000711134537589	9.15781694159e-06
0.000746691264468	7.9793091293e-06
0.000784025827692	6.96248982699e-06
0.000823227119076	6.08494656945e-06
0.00086438847503	5.32713013121e-06
0.000907607898782	4.67211195314e-06
0.000952988293721	4.10530966307e-06
0.00100063770841	3.6142091015e-06
0.00105066959383	3.18809724095e-06
0.00110320307352	2.81781608024e-06
0.00115836322719	2.49554178581e-06
0.00121628138855	2.21459035374e-06
0.00127709545798	1.96924877497e-06
0.00134095023088	1.75463027606e-06
0.00140799774242	1.56655077287e-06
0.00147839762955	1.40142414475e-06
0.00155231751102	1.25617360735e-06
0.00162993338657	1.12815670841e-06
0.0017114300559	1.01510192594e-06
0.0017970015587	9.15054984657e-07
0.00188685163663	8.26333291338e-07
0.00198119421847	7.47487107797e-07
0.00208025392939	6.77266497397e-07
0.00218426662586	6.14593048516e-07
0.00229347995715	5.58535660759e-07
0.00240815395501	5.08289736785e-07
0.00252856165276	4.63159361599e-07
0.0026549897354	4.22541957039e-07
0.00278773922217	3.8591509967e-07
0.00292712618327	3.5282520467e-07
0.00307348249244	3.22877792582e-07
0.00322715661706	2.95729155014e-07
0.00338851444791	2.71079196634e-07
0.00355794017031	2.48665312851e-07
0.00373583717882	2.28257152506e-07
0.00392262903777	2.09652137258e-07
0.00411876048965	1.92671638203e-07
0.00432469851414	1.77157714513e-07
0.00454093343984	1.62970326559e-07
0.00476798011184	1.49984956361e-07
0.00500637911743	1.38090586806e-07
0.0052566980733	1.27187962977e-07
0.00551953297696	1.17188115744e-07
0.00579550962581	1.08011093857e-07
0.0060852851071	9.95848786643e-08
0.00638954936246	9.18444491025e-08
0.00670902683058	8.47309816264e-08
0.00704447817211	7.81911545079e-08
0.00739670208072	7.21765480716e-08
0.00776653718475	6.66431231621e-08
0.00815486404399	6.15507651995e-08
0.00856260724619	5.68628869183e-08
0.0089907376085	5.25460763e-08
0.00944027448892	4.85697882622e-08
0.00991228821337	4.49060687744e-08
0.010407902624	4.1529310392e-08
0.0109282977552	3.84160314435e-08
0.011474712643	3.55446782863e-08
0.0120484482752	3.28954447358e-08
0.0126508706889	3.04501083504e-08
0.0132834142234	2.81918795489e-08
